site,year,transect,species,count
cbc lagoon patch,2019,1,Isophyllia,
cbc lagoon patch,2019,1,Helio cuc.,
cbc lagoon patch,2019,1,Madracis mir.,
cbc lagoon patch,2019,1,Madracis decac.,
cbc lagoon patch,2019,1,Meandrina mea.,1
cbc lagoon patch,2019,1,M. cavernosa,8
cbc lagoon patch,2019,1,O. faveolata,2
cbc lagoon patch,2019,1,O. franksi,
cbc lagoon patch,2019,1,O. annularis,1
cbc lagoon patch,2019,1,Mycetophyllia,
cbc lagoon patch,2019,1,Orbicella,
cbc lagoon patch,2019,1,P. astreoides,60
cbc lagoon patch,2019,1,P. porites,17
cbc lagoon patch,2019,1,P. furcata,
cbc lagoon patch,2019,1,Sid. siderea,51
cbc lagoon patch,2019,1,Sid. radians,1
cbc lagoon patch,2019,1,Stephanocoenia,3
cbc lagoon patch,2019,1,tot colonies,296
cbc lagoon patch,2019,2,Ag. agaricites,76
cbc lagoon patch,2019,2,Ag. tenufolia,67
cbc lagoon patch,2019,2,Ag fragilis,
cbc lagoon patch,2019,2,Ag humilis,
cbc lagoon patch,2019,2,Colpo. natans,
cbc lagoon patch,2019,2,Dichocoenia ,1
cbc lagoon patch,2019,2,Dipl. clivosa,
cbc lagoon patch,2019,2,Dipl. labyrinth.,
cbc lagoon patch,2019,2,Dipl. strigosa,3
cbc lagoon patch,2019,2,Eusmilia fast.,3
cbc lagoon patch,2019,2,Favia fragum,
cbc lagoon patch,2019,2,Isophyllia,
cbc lagoon patch,2019,2,Helio cuc.,
cbc lagoon patch,2019,2,Madracis mir.,
cbc lagoon patch,2019,2,Madracis decac.,5
cbc lagoon patch,2019,2,Meandrina mea.,
cbc lagoon patch,2019,2,M. cavernosa,8
cbc lagoon patch,2019,2,O. faveolata,2
cbc lagoon patch,2019,2,O. franksi,
cbc lagoon patch,2019,2,O. annularis,11
cbc lagoon patch,2019,2,Mycetophyllia,
cbc lagoon patch,2019,2,Orbicella,
cbc lagoon patch,2019,2,P. astreoides,41
cbc lagoon patch,2019,2,P. porites,22
cbc lagoon patch,2019,2,P. furcata,
cbc lagoon patch,2019,2,Sid. siderea,43
cbc lagoon patch,2019,2,Sid. radians,1
cbc lagoon patch,2019,2,Stephanocoenia,3
cbc lagoon patch,2019,2,tot colonies,286
southwater,2019,1,Ag. agaricites,111
southwater,2019,1,Ag. tenufolia,2
southwater,2019,1,Ag fragilis,
southwater,2019,1,Ag humilis,
southwater,2019,1,Colpo. natans,
southwater,2019,1,Dichocoenia ,2
southwater,2019,1,Dipl. clivosa,
southwater,2019,1,Dipl. labyrinth.,2
southwater,2019,1,Dipl. strigosa,14
southwater,2019,1,Eusmilia fast.,
southwater,2019,1,Favia fragum,
southwater,2019,1,Isophyllia,
southwater,2019,1,Helio cuc.,1
southwater,2019,1,Madracis mir.,
southwater,2019,1,Madracis decac.,1
southwater,2019,1,Meandrina mea.,
southwater,2019,1,M. cavernosa,12
southwater,2019,1,O. faveolata,
southwater,2019,1,O. franksi,1
southwater,2019,1,O. annularis,2
southwater,2019,1,Mycetophyllia,
southwater,2019,1,Orbicella,
southwater,2019,1,P. astreoides,60
southwater,2019,1,P. porites,8
southwater,2019,1,P. furcata,
southwater,2019,1,Sid. siderea,57
southwater,2019,1,Sid. radians,1
southwater,2019,1,Stephanocoenia,7
southwater,2019,1,tot colonies,281
southwater,2019,2,Ag. agaricites,94
southwater,2019,2,Ag. tenufolia,13
southwater,2019,2,Ag fragilis,
southwater,2019,2,Ag humilis,
southwater,2019,2,Colpo. natans,
southwater,2019,2,Dichocoenia ,4
southwater,2019,2,Dipl. clivosa,
southwater,2019,2,Dipl. labyrinth.,2
southwater,2019,2,Dipl. strigosa,7
southwater,2019,2,Eusmilia fast.,2
southwater,2019,2,Favia fragum,
southwater,2019,2,Isophyllia,
southwater,2019,2,Helio cuc.,1
southwater,2019,2,Madracis mir.,
southwater,2019,2,Madracis decac.,
southwater,2019,2,Meandrina mea.,
southwater,2019,2,M. cavernosa,1
southwater,2019,2,O. faveolata,
southwater,2019,2,O. franksi,
southwater,2019,2,O. annularis,1
southwater,2019,2,Mycetophyllia,
southwater,2019,2,Orbicella,3
southwater,2019,2,P. astreoides,32
southwater,2019,2,P. porites,9
southwater,2019,2,P. furcata,
southwater,2019,2,Sid. siderea,77
southwater,2019,2,Sid. radians,
southwater,2019,2,Stephanocoenia,2
southwater,2019,2,tot colonies,248
sr disease,2019,1,Ag. agaricites,150
sr disease,2019,1,Ag. tenufolia,4
sr disease,2019,1,Ag fragilis,
sr disease,2019,1,Ag humilis,
sr disease,2019,1,Colpo. natans,
sr disease,2019,1,Dichocoenia ,1
sr disease,2019,1,Dipl. clivosa,
sr disease,2019,1,Dipl. labyrinth.,
sr disease,2019,1,Dipl. strigosa,7
sr disease,2019,1,Eusmilia fast.,1
